data,mean,temp_arg,temp_arg_max,temp_arg_min
2021-02-08,16410.416666666664,18.9,25.2,12.6
2021-02-09,16945.75,18.3,24.4,12.2
2021-02-10,16227.583333333334,21.8,29.066666669999996,14.53333333
2021-02-11,16237.625,19.9,26.53333333,13.26666667
2021-02-12,16933.541666666664,15.4,20.53333333,10.26666667
2021-02-13,15146.041666666666,20.5,27.33333333,13.66666667
2021-02-14,14931.333333333336,21.5,28.66666667,14.33333333
2021-02-15,14700.916666666666,17.7,23.6,11.8
2021-02-16,15737.375000000002,20.2,26.93333333,13.46666667
2021-02-17,17504.291666666668,20.7,27.6,13.8
2021-02-18,17903.833333333332,22.7,30.26666667,15.13333333
2021-02-19,17063.625000000004,23.2,30.93333333,15.46666667
2021-02-20,14899.79166666667,19.3,25.73333333,12.86666667
2021-02-21,14125.833333333332,24.6,32.8,16.4
2021-02-22,16874.499999999996,20.6,27.46666667,13.73333333
2021-02-23,18054.0,23.0,30.66666667,15.33333333
2021-02-24,18469.333333333332,23.1,30.8,15.4
2021-02-25,18792.0,24.4,32.53333333,16.26666667
2021-02-26,19000.124999999996,26.3,35.06666667,17.53333333
2021-02-27,17740.08333333333,25.6,34.13333333,17.06666667
2021-02-28,16303.250000000004,26.0,34.66666667,17.33333333
2021-03-01,18672.08333333333,25.6,34.13333333,17.06666667
2021-03-02,19231.125,26.0,34.66666667,17.33333333
2021-03-03,19086.916666666668,25.4,33.86666667,16.93333333
2021-03-04,18589.291666666668,25.6,34.13333333,17.06666667
2021-03-05,17788.125,20.5,27.33333333,13.66666667
2021-03-06,15473.708333333334,18.0,24.0,12.0
2021-03-07,14699.541666666668,21.3,28.4,14.2
2021-03-08,16734.583333333332,24.6,32.8,16.4
2021-03-09,17283.333333333332,19.7,26.26666667,13.13333333
2021-03-10,17361.375,22.5,30.0,15.0
2021-03-11,18529.958333333332,25.1,33.46666667,16.73333333
2021-03-12,16846.45833333333,22.9,30.53333333,15.26666667
2021-03-13,15743.95833333333,22.2,29.6,14.8
2021-03-14,14630.875000000002,24.4,32.53333333,16.26666667
2021-03-15,16350.125,23.8,31.73333333,15.866666669999999
2021-03-16,16108.249999999998,20.4,27.2,13.6
2021-03-17,15245.083333333332,17.5,23.33333333,11.66666667
2021-03-18,14774.458333333327,14.3,19.066666669999996,9.533333333
2021-03-19,14389.000000000002,17.3,23.066666669999996,11.53333333
2021-03-20,13913.624999999998,17.3,23.066666669999996,11.53333333
2021-03-21,12819.458333333332,18.1,24.13333333,12.06666667
2021-03-22,14604.666666666666,18.2,24.26666667,12.133333330000001
2021-03-23,15087.666666666664,19.2,25.6,12.8
2021-03-24,14414.208333333328,22.2,29.6,14.8
2021-03-25,15122.374999999998,19.6,26.13333333,13.06666667
2021-03-26,15736.041666666662,19.7,26.26666667,13.13333333
2021-03-27,13884.583333333336,19.3,25.73333333,12.86666667
2021-03-28,12591.583333333336,19.7,26.26666667,13.133333330000001
2021-03-29,14511.541666666666,18.6,24.8,12.4
2021-03-30,14936.791666666666,16.3,21.73333333,10.866666669999999
2021-03-31,15470.333333333334,17.4,23.2,11.6
2021-04-01,13783.583333333332,18.3,24.4,12.2
2021-04-02,12487.541666666662,18.6,24.8,12.4
